Date,Actual,Predicted,Naive
2025-06-03,3352.5,3231.304964796861,3350.199951171875
2025-06-04,3340.10009765625,3248.0980013160233,3373.5
2025-06-05,3353.0,3238.9563070988424,3350.699951171875
2025-06-06,3401.89990234375,3218.8142900676803,3322.699951171875
2025-06-09,3439.199951171875,3218.7207139347593,3332.10009765625
2025-06-10,3394.10009765625,3213.157020262285,3320.89990234375
2025-06-11,3371.0,3213.1893912744436,3321.300048828125
2025-06-12,3334.0,3243.2616844194335,3380.89990234375
2025-06-13,3309.10009765625,3286.7570343793013,3431.199951171875
2025-06-16,3323.39990234375,3282.1788516636834,3396.39990234375
2025-06-17,3295.800048828125,3267.5033496006336,3386.60009765625
2025-06-18,3293.199951171875,3271.862658300166,3389.800048828125
2025-06-20,3347.699951171875,3262.7698703222786,3368.10009765625
2025-06-23,3374.39990234375,3264.0163646146975,3377.699951171875
2025-06-24,3381.89990234375,3230.0573050299063,3317.39990234375
2025-06-25,3380.0,3222.1050811351715,3327.10009765625
2025-06-26,3400.300048828125,3226.435090504344,3333.5
2025-06-27,3439.10009765625,3190.680844646361,3273.699951171875
2025-06-30,3353.10009765625,3188.353549301237,3294.39990234375
2025-07-01,3348.89990234375,3219.3487820810315,3336.699951171875
2025-07-02,3358.699951171875,3235.3869818520943,3348.0
2025-07-03,3335.199951171875,3226.966461465461,3331.60009765625
2025-07-04,3336.0,3221.1039988910125,3332.5
2025-07-07,3331.699951171875,3223.8932188481167,3332.199951171875
2025-07-08,3313.39990234375,3211.0482846802506,3307.0
2025-07-09,3343.39990234375,3208.233979768662,3311.60009765625
2025-07-10,3336.89990234375,3214.7408988662755,3317.39990234375
2025-07-11,3374.39990234375,3238.926802948102,3356.0
2025-07-14,3373.800048828125,3245.1218014093556,3351.5
2025-07-15,3388.60009765625,3233.9561048253363,3329.800048828125
2025-07-16,3404.60009765625,3242.9042984881626,3352.5
2025-07-17,3431.800048828125,3238.955321279096,3340.10009765625
2025-07-18,3473.699951171875,3246.1433393904717,3353.0
2025-07-21,3549.39990234375,3277.823076104304,3401.89990234375
2025-07-22,3593.199951171875,3310.0342367686144,3439.199951171875
2025-07-23,3565.800048828125,3293.7211467507686,3394.10009765625
2025-07-24,3613.199951171875,3271.8558668435626,3371.0
2025-07-25,3638.10009765625,3247.8241083289186,3334.0
2025-07-28,3643.300048828125,3227.8508347641127,3309.10009765625
2025-07-29,3643.60009765625,3234.713584926075,3323.39990234375
2025-07-30,3636.89990234375,3226.3034255183775,3295.800048828125
2025-07-31,3649.39990234375,3225.961421128478,3293.199951171875
2025-08-01,3682.199951171875,3249.2742490920864,3347.699951171875
2025-08-04,3688.89990234375,3271.5491518413346,3374.39990234375
2025-08-05,3681.800048828125,3286.240037772629,3381.89990234375
2025-08-06,3643.699951171875,3284.010121407471,3380.0
2025-08-07,3671.5,3296.7485883918844,3400.300048828125
2025-08-08,3740.699951171875,3319.100423508733,3439.10009765625
2025-08-11,3780.60009765625,3280.724855984392,3353.10009765625
2025-08-12,3732.10009765625,3265.2775977388847,3348.89990234375
2025-08-13,3736.89990234375,3270.2064315161324,3358.699951171875
2025-08-14,3775.300048828125,3257.3202359720854,3335.199951171875
2025-08-15,3820.89990234375,3254.6084782266835,3336.0
2025-08-18,3840.800048828125,3250.671071771747,3331.699951171875
2025-08-19,3867.5,3237.4402827495487,3313.39990234375
2025-08-20,3839.699951171875,3244.460820512917,3343.39990234375
2025-08-21,3880.800048828125,3246.1271910902024,3336.89990234375
2025-08-22,3948.5,3268.978430408749,3374.39990234375
2025-08-25,3976.60009765625,3276.186336704469,3373.800048828125
2025-08-26,4043.300048828125,3287.8801361376063,3388.60009765625
2025-08-27,3946.300048828125,3300.1598599430354,3404.60009765625
2025-08-28,3975.89990234375,3318.854648429443,3431.800048828125
2025-08-29,4108.60009765625,3348.2681227212834,3473.699951171875
2025-09-02,4138.7001953125,3401.4653316921876,3549.39990234375
2025-09-03,4176.89990234375,3440.473375239323,3593.199951171875
2025-09-04,4280.2001953125,3434.110790551017,3565.800048828125
2025-09-05,4189.89990234375,3454.5334587492252,3613.199951171875
2025-09-08,4336.39990234375,3477.2119748312707,3638.10009765625
2025-09-09,4087.699951171875,3483.981383753089,3643.300048828125
2025-09-10,4044.39990234375,3488.9495897212364,3643.60009765625
2025-09-11,4125.5,3486.4606003061144,3636.89990234375
2025-09-12,4118.39990234375,3495.3954655380967,3649.39990234375
2025-09-15,4001.89990234375,3513.432274658111,3682.199951171875
2025-09-16,3966.199951171875,3522.5914101859853,3688.89990234375
2025-09-17,3983.699951171875,3517.314150457659,3681.800048828125
2025-09-18,4001.300048828125,3494.466935369772,3643.699951171875
2025-09-19,3982.199951171875,3503.7875804850473,3671.5
2025-09-22,4000.300048828125,3544.5467916885464,3740.699951171875
2025-09-23,3947.699951171875,3582.9846598206905,3780.60009765625
2025-09-24,3980.300048828125,3572.017834302279,3732.10009765625
2025-09-25,3979.89990234375,3564.6737470770286,3736.89990234375
2025-09-26,3999.39990234375,3587.046492964223,3775.300048828125
2025-09-29,4111.7998046875,3618.9519690400175,3820.89990234375
2025-09-30,4106.7998046875,3643.276863335672,3840.800048828125
2025-10-01,4204.39990234375,3669.174584594144,3867.5
2025-10-02,4186.89990234375,3662.214763176894,3839.699951171875
2025-10-03,4087.60009765625,3679.807777300566,3880.800048828125
2025-10-06,4068.300048828125,3728.603237415533,3948.5
2025-10-07,4061.300048828125,3763.2884545331463,3976.60009765625
2025-10-08,4077.699951171875,3809.7218554224164,4043.300048828125
2025-10-09,4056.5,3777.515779018011,3946.300048828125
2025-10-10,4076.699951171875,3776.5943640038613,3975.89990234375
2025-10-13,4091.89990234375,3853.597692139034,4108.60009765625
2025-10-14,4139.2001953125,3899.4420702064326,4138.7001953125
